station_id,STATE_UT,DISTRICT,GAVI,GAVI_forecast_1y,GAVI_forecast_3y,FUTURE_ALERT_1y,FUTURE_ALERT_3y
Rajasthan_27.0333_70.9,Rajasthan,Jaisalmer,3.5714285714285032,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Telangana_18.2333_80.2542,Telangana,Mulugu,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_27.3_83.3317,Uttar Pradesh,Mahrajganj,33.333333333333336,25.555555555555575,10.000000000000032,STABLE,FUTURE_CRITICAL
Uttar Pradesh_27.4667_79.4333,Uttar Pradesh,Farrukhabad,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Uttar Pradesh_27.4533_78.2133,Uttar Pradesh,Etah,31.24999999999998,18.75000000000002,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_26.4889_90.6167,Assam,Bongaigaon,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_26.5_92.125,Assam,Darrang,18.181818181818198,3.6363636363636376,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Punjab_30.3958_75.1333,Punjab,Bathinda,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Punjab_30.4589_76.0208,Punjab,Malerkotla,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_26.4751_92.0765,Assam,Darrang,44.99999999999999,35.83333333333334,17.499999999999982,STABLE,FUTURE_CRITICAL
Haryana_29.775_76.5056,Haryana,Kaithal,5.357142857142872,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Assam_27.5371_94.5979,Assam,Dhemaji,18.181818181818198,21.818181818181838,29.09090909090911,FUTURE_CRITICAL,STABLE
Punjab_30.8358_75.2689,Punjab,Moga,0.0,0.0,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
Punjab_31.0583_76.125,Punjab,Shahid Bhagat Singh Nagar Nawanshahr,21.052631578947377,13.815789473684259,0.0,FUTURE_CRITICAL,FUTURE_CRITICAL
